T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
51.20,13.97,3.24,7.12,2.74,0.679,0.069,0.033,5.47
54.40,10.87,2.48,5.85,2.74,0.114,0.061,0.033,5.73
53.14,12.56,2.82,6.29,2.75,0.205,0.063,0.032,6.07
54.09,11.28,2.72,5.96,2.73,0.076,0.062,0.031,6.20
52.33,13.63,2.84,6.14,2.73,0.513,0.067,0.032,5.67
53.70,11.72,2.74,6.01,2.74,0.099,0.062,0.032,6.40
51.52,13.54,2.96,6.41,2.71,0.549,0.069,0.030,6.13
54.48,10.72,2.43,5.25,2.71,0.120,0.061,0.033,6.47
53.46,12.06,2.76,5.82,2.69,0.238,0.060,0.031,6.07
53.94,11.23,2.49,6.04,2.75,0.076,0.064,0.031,6.67
51.58,13.42,3.03,6.57,2.68,0.434,0.065,0.031,6.13
53.77,11.48,2.61,5.93,2.82,0.108,0.060,0.034,6.40
54.12,11.03,2.62,6.32,2.94,0.063,0.064,0.032,6.33
53.84,11.35,2.50,6.04,2.86,0.098,0.058,0.032,6.60
53.14,12.39,2.72,6.28,2.83,0.231,0.063,0.032,6.47
53.71,11.59,2.50,6.22,2.84,0.079,0.058,0.032,6.53
53.73,11.46,2.59,6.01,2.92,0.065,0.061,0.033,6.33
54.13,11.03,2.45,5.69,2.78,0.075,0.060,0.034,6.33
54.15,10.88,2.50,6.19,2.84,0.061,0.061,0.034,7.40
54.29,10.58,2.60,6.20,2.84,0.078,0.063,0.032,6.80
54.12,11.02,2.59,5.78,2.82,0.059,0.063,0.034,6.40
53.75,11.52,2.57,6.05,2.78,0.099,0.060,0.033,6.27
52.66,13.19,2.91,6.54,2.73,0.482,0.068,0.031,6.40
53.76,11.43,2.53,6.10,2.73,0.088,0.063,0.031,6.40
53.71,11.49,2.67,5.85,2.73,0.122,0.059,0.036,6.60
54.06,11.09,2.55,6.15,2.81,0.092,0.060,0.031,6.87
54.36,10.83,2.34,5.78,2.69,0.053,0.064,0.034,6.40
54.18,10.91,2.41,6.04,2.82,0.043,0.063,0.034,6.27
54.08,10.88,2.47,6.22,2.79,0.054,0.064,0.032,6.27
53.97,11.11,2.42,6.12,2.79,0.045,0.060,0.034,6.33
53.90,11.22,2.55,5.62,2.74,0.168,0.065,0.033,6.27
52.87,12.69,2.88,6.54,2.77,0.322,0.061,0.032,6.87
53.58,11.49,2.60,6.66,2.91,0.107,0.060,0.033,6.40
53.84,11.14,2.57,6.57,2.86,0.046,0.063,0.034,6.80
53.38,11.98,2.68,6.76,2.87,0.062,0.057,0.030,6.20
53.38,11.91,2.61,6.89,2.79,0.065,0.064,0.030,6.47
53.71,11.54,2.55,6.82,2.92,0.047,0.063,0.031,6.27
53.22,12.07,2.69,6.54,2.87,0.044,0.058,0.032,6.87
53.56,11.80,2.44,6.19,1.76,0.044,0.057,0.033,6.67
53.76,11.43,2.60,6.64,2.83,0.042,0.059,0.030,6.53
53.45,11.81,2.59,6.09,2.78,0.043,0.053,0.034,5.93
53.62,12.13,2.45,6.60,2.89,0.084,0.060,0.037,6.93
53.32,12.08,2.63,6.33,2.85,0.049,0.061,0.033,7.00
53.63,11.68,2.41,6.11,2.85,0.043,0.059,0.033,7.13
53.56,11.70,2.56,6.14,2.89,0.062,0.059,0.034,6.40
53.91,10.83,2.89,6.74,2.78,0.043,0.054,0.039,6.73
53.84,10.88,2.89,6.98,2.87,0.039,0.061,0.034,6.20
53.70,11.38,2.56,6.28,2.86,0.045,0.055,0.034,6.33
53.45,11.88,2.63,6.21,2.75,0.037,0.056,0.034,6.47
53.35,12.07,2.68,6.24,2.76,0.036,0.056,0.031,6.33
53.12,12.14,2.73,6.28,2.85,0.052,0.056,0.031,6.13
53.35,11.91,2.60,6.17,2.88,0.052,0.057,0.036,6.87
53.55,11.71,2.66,5.92,2.78,0.072,0.054,0.033,6.80
53.37,11.84,2.60,6.57,2.86,0.051,0.057,0.032,6.20
53.56,11.81,2.40,6.07,2.85,0.044,0.058,0.033,6.47
53.67,11.61,2.52,6.31,2.80,0.032,0.057,0.033,6.20
51.97,13.92,3.04,7.38,2.83,0.590,0.064,0.030,6.07
53.54,11.57,2.59,6.42,2.82,0.093,0.060,0.030,6.47
52.70,12.35,2.51,6.67,2.75,1.210,0.068,0.031,6.00
53.72,11.39,2.49,6.23,2.80,0.144,0.059,0.033,6.40
52.60,12.99,2.87,7.03,2.83,0.468,0.061,0.030,6.13
53.78,11.44,2.42,6.14,2.71,0.130,0.059,0.032,5.87
52.95,12.81,2.47,6.67,2.70,0.384,0.065,0.030,5.73
53.35,12.03,2.51,6.09,2.74,0.116,0.058,0.032,6.73
52.48,13.32,2.52,6.31,2.60,0.821,0.062,0.032,5.67
53.13,12.33,2.58,6.67,2.79,0.144,0.063,0.031,6.60
52.55,12.96,2.71,6.32,2.71,0.595,0.062,0.034,6.07
53.11,12.07,2.78,6.57,2.81,0.256,0.061,0.031,6.80
52.00,13.65,2.71,6.59,2.73,1.210,0.073,0.031,5.80
53.41,11.68,2.49,6.40,2.84,0.136,0.062,0.030,6.13
52.29,12.98,2.71,7.04,2.78,0.794,0.066,0.030,5.87
53.05,11.91,3.03,6.78,2.80,0.230,0.063,0.033,6.20
53.74,11.72,2.46,5.97,2.73,0.105,0.062,0.034,6.60
53.46,12.04,2.67,6.15,2.78,0.060,0.062,0.032,6.40
53.53,11.98,2.54,6.50,2.81,0.061,0.059,0.029,6.60
53.47,11.90,2.64,6.60,2.75,0.046,0.061,0.029,6.27
53.39,12.10,2.74,6.48,2.80,0.100,0.061,0.031,6.80
53.33,11.86,2.93,6.85,2.84,0.134,0.058,0.033,6.60
53.29,12.14,2.68,6.95,2.90,0.150,0.060,0.030,6.00
53.30,12.12,2.73,7.35,2.84,0.080,0.059,0.030,6.20
53.27,12.13,2.65,7.20,2.84,0.086,0.061,0.030,6.13
53.11,12.53,2.75,6.62,2.72,0.060,0.060,0.032,6.47
53.16,12.37,2.63,6.69,2.83,0.059,0.060,0.031,6.00
53.36,12.19,2.50,6.71,2.76,0.060,0.061,0.031,6.07
53.36,12.11,2.49,6.66,2.79,0.053,0.057,0.032,6.33
52.51,12.53,2.85,7.14,2.85,0.173,0.060,0.030,6.67
52.81,12.82,2.57,6.93,2.83,0.054,0.061,0.029,6.80
52.87,12.81,2.76,6.75,2.77,0.060,0.059,0.030,6.73
53.48,11.85,2.81,6.88,2.79,0.171,0.057,0.030,6.47
53.18,12.05,2.64,6.47,2.82,0.066,0.062,0.033,6.20
52.81,12.27,2.79,6.96,2.89,0.053,0.063,0.032,6.67
52.62,12.44,2.79,7.14,2.94,0.063,0.060,0.031,6.07
52.97,13.05,2.35,6.45,2.86,0.044,0.064,0.028,6.73
52.75,13.37,2.63,6.27,2.81,0.043,0.061,0.027,5.67
52.54,13.44,2.56,6.64,2.75,0.066,0.063,0.028,6.00
52.73,13.34,2.51,6.32,2.77,0.064,0.060,0.029,6.40
52.95,12.92,2.54,6.76,2.81,0.050,0.063,0.029,5.80
52.55,13.43,2.55,5.94,2.82,0.063,0.063,0.030,6.07
52.98,12.90,2.46,5.98,2.85,0.059,0.067,0.032,6.47
52.96,12.89,2.64,6.07,2.88,0.098,0.065,0.031,6.20
52.75,13.10,2.74,6.13,2.91,0.065,0.064,0.030,6.40
53.04,12.81,2.53,5.68,2.81,0.052,0.061,0.031,6.27
53.08,12.56,2.58,5.93,2.87,0.062,0.063,0.032,6.73
52.73,13.14,2.74,6.82,2.81,0.070,0.064,0.028,6.33
52.21,13.09,2.75,6.80,2.76,0.071,0.062,0.028,5.93
53.17,12.81,2.43,6.03,2.74,0.048,0.064,0.027,6.27
53.32,12.43,2.34,5.90,2.75,0.052,0.062,0.030,6.20
53.70,12.04,2.30,5.82,2.92,0.071,0.071,0.031,6.40
54.36,11.16,2.12,6.18,2.76,0.038,0.073,0.032,6.33
53.60,12.17,2.30,6.28,2.82,0.061,0.074,0.031,5.73
53.58,12.30,2.29,5.91,2.81,0.046,0.069,0.030,6.13
53.28,12.68,2.39,6.07,2.77,0.055,0.069,0.029,5.73
52.96,12.95,2.50,6.54,2.85,0.052,0.072,0.029,5.60
53.06,12.82,2.45,6.30,2.82,0.039,0.070,0.029,5.40
53.03,13.02,2.59,7.09,2.98,0.039,0.075,0.026,5.20
53.51,12.53,2.49,6.40,2.81,0.054,0.072,0.027,5.47
53.16,12.80,2.43,6.47,2.82,0.101,0.066,0.028,6.00
53.09,12.72,2.30,6.70,2.90,0.069,0.071,0.028,6.20
53.05,12.95,2.43,6.42,2.89,0.059,0.072,0.030,5.93
53.58,12.31,2.32,6.22,2.80,0.045,0.067,0.028,5.73
53.48,12.55,2.47,6.46,2.83,0.050,0.073,0.028,5.87
53.40,12.50,2.30,6.30,2.80,0.038,0.071,0.028,5.80
53.37,12.77,2.40,5.20,2.82,0.043,0.073,0.030,5.67
53.14,13.06,2.40,5.77,2.79,0.038,0.070,0.030,5.80
53.45,12.69,2.16,6.17,2.87,0.049,0.072,0.027,5.87
52.41,14.68,1.98,6.11,2.66,0.048,0.063,0.026,5.80
52.62,14.03,2.21,6.23,2.74,0.230,0.071,0.026,5.73
54.67,11.22,1.84,5.08,2.70,0.047,0.068,0.028,6.53
54.05,11.76,2.06,5.40,2.68,0.486,0.069,0.030,5.53
54.61,10.98,2.06,5.31,2.77,0.092,0.061,0.030,6.47
53.98,11.43,2.19,2.19,2.72,0.611,0.064,0.028,5.47
54.49,11.10,2.18,5.79,2.81,0.080,0.062,0.027,6.53
53.62,12.13,2.19,5.84,2.77,0.552,0.069,0.027,5.73
54.63,11.01,2.13,5.41,2.70,0.154,0.065,0.029,6.53
54.37,11.42,2.21,5.33,2.66,0.344,0.067,0.026,6.67
54.67,10.93,1.86,5.74,2.77,0.090,0.063,0.028,6.67
54.71,10.76,2.13,5.59,2.73,0.102,0.062,0.027,6.73
54.29,11.36,2.07,5.09,2.71,0.612,0.065,0.029,5.93
54.74,10.75,2.09,5.35,2.69,0.135,0.066,0.029,6.60
54.43,11.02,2.03,5.75,2.78,0.634,0.071,0.027,6.00
54.47,11.48,1.25,5.16,2.71,0.179,0.064,0.028,5.80
54.32,11.34,2.08,5.24,2.55,0.488,0.060,0.028,5.67
54.95,10.53,2.04,5.48,2.65,0.078,0.062,0.030,6.07
55.12,10.16,2.02,5.33,2.59,0.129,0.062,0.031,6.20
54.91,10.56,2.07,5.27,2.62,0.263,0.061,0.029,5.33
55.28,10.07,1.97,5.38,2.64,0.136,0.059,0.031,6.07
54.73,10.56,1.93,5.21,2.64,0.826,0.062,0.030,5.53
55.21,10.07,2.01,5.55,2.67,0.135,0.060,0.027,6.80
54.90,10.53,2.03,5.53,2.58,0.552,0.062,0.030,5.67
55.57,9.68,1.89,5.57,2.60,0.129,0.065,0.028,6.80
55.22,10.25,2.06,5.27,2.55,0.119,0.065,0.030,6.60
54.62,11.04,2.07,5.09,2.52,0.505,0.063,0.031,5.73
55.08,10.55,2.21,5.05,2.54,0.118,0.062,0.030,6.67
54.51,11.20,2.21,5.59,2.62,0.470,0.066,0.026,6.73
54.90,10.58,2.12,5.27,2.61,0.149,0.062,0.028,6.87
54.26,11.29,2.16,5.25,2.56,0.458,0.063,0.027,6.13
54.62,11.03,2.21,5.06,2.60,0.128,0.064,0.030,6.73
54.34,11.34,2.15,5.28,2.63,0.662,0.066,0.027,5.67
54.68,10.92,2.14,5.34,2.60,0.108,0.066,0.029,6.47
54.75,10.88,2.08,5.39,2.65,0.089,0.067,0.029,6.27
55.16,10.36,2.04,5.10,2.58,0.055,0.065,0.030,6.67
54.95,10.66,2.09,5.23,2.59,0.069,0.066,0.030,6.67
54.94,10.52,2.06,5.49,2.70,0.055,0.064,0.030,6.27
55.32,9.96,2.08,5.46,2.65,0.063,0.065,0.030,6.80
55.11,10.40,2.17,5.28,2.59,0.046,0.068,0.030,6.53
55.12,10.10,2.08,5.60,2.67,0.058,0.067,0.026,5.93
54.82,10.67,2.15,5.76,2.69,0.069,0.064,0.029,6.33
54.85,10.71,2.18,5.87,2.70,0.094,0.070,0.026,6.80
54.61,10.91,2.03,6.01,2.63,0.399,0.072,0.028,6.33
55.12,10.31,1.99,5.09,2.59,0.275,0.065,0.031,6.67
54.25,10.99,2.34,6.08,2.80,0.638,0.073,0.028,5.67
54.69,10.75,2.14,6.03,2.72,0.115,0.072,0.027,5.93
54.08,11.24,2.25,6.59,2.93,0.680,0.079,0.028,5.93
54.17,11.53,2.18,5.52,2.73,0.190,0.073,0.029,5.80
53.99,11.56,2.19,5.93,2.85,0.245,0.075,0.029,6.00
54.02,11.60,2.22,5.69,2.80,0.137,0.069,0.028,6.73
53.33,12.33,2.33,6.27,2.92,0.475,0.078,0.029,5.93
54.13,11.64,2.26,5.49,2.78,0.214,0.070,0.029,6.07
53.50,12.33,2.32,5.71,2.75,0.350,0.072,0.028,5.73
54.13,11.64,2.20,5.54,2.64,0.196,0.068,0.028,6.07
53.31,12.58,2.34,5.58,2.69,0.535,0.071,0.029,5.33
54.45,11.40,2.12,5.89,2.63,0.111,0.076,0.027,5.73
53.66,12.11,2.22,5.77,2.65,0.345,0.068,0.028,5.80
54.59,11.27,2.01,5.00,2.54,0.091,0.064,0.030,5.73
53.71,12.46,2.15,5.05,2.59,0.391,0.069,0.029,5.33
54.20,11.77,2.26,5.12,2.55,0.110,0.065,0.028,6.20
53.68,12.20,2.25,5.40,2.69,0.316,0.071,0.030,5.80
54.63,11.12,2.44,5.79,2.54,0.080,0.069,0.028,6.53
54.29,11.36,2.39,5.79,2.73,0.313,0.076,0.029,5.73
54.23,11.49,2.15,5.78,2.62,0.113,0.071,0.028,6.07
54.18,11.34,2.26,5.75,2.72,0.142,0.062,0.030,6.00
54.37,11.47,2.25,5.62,2.61,0.086,0.066,0.027,5.80
54.46,11.03,2.18,5.99,2.76,0.060,0.064,0.030,5.93
53.26,12.64,2.38,6.14,2.81,0.500,0.069,0.027,5.93
54.59,10.84,2.12,5.44,2.77,0.103,0.060,0.030,6.00
54.25,11.30,2.31,5.99,2.80,0.124,0.062,0.029,6.13
54.31,12.24,2.19,5.61,2.76,0.138,0.064,0.029,6.00
54.02,11.59,2.37,5.99,2.82,0.228,0.063,0.028,5.80
53.98,11.56,2.26,6.02,2.77,0.165,0.062,0.027,6.20
53.41,12.28,2.47,5.84,2.71,0.445,0.066,0.029,5.67
54.43,11.32,2.18,5.50,2.68,0.174,0.066,0.027,6.00
54.27,11.33,2.08,5.81,2.79,0.091,0.065,0.026,6.00
53.95,11.80,2.26,5.73,2.73,0.071,0.064,0.028,6.20
54.39,11.26,2.19,5.88,2.73,0.071,0.062,0.030,6.07
54.03,11.71,2.45,5.93,2.81,0.077,0.063,0.027,5.87
54.18,11.38,2.13,5.75,2.82,0.067,0.062,0.029,5.67
53.97,11.76,2.27,6.31,2.86,0.056,0.069,0.026,6.13
54.21,11.49,2.17,5.46,2.76,0.055,0.064,0.029,5.93
54.20,11.34,2.32,5.76,2.81,0.050,0.063,0.030,6.07
53.82,11.60,2.38,6.30,2.94,0.060,0.065,0.029,6.20
53.87,11.71,2.18,6.05,2.85,0.061,0.065,0.028,6.53
53.93,11.72,2.11,6.12,2.85,0.056,0.067,0.026,6.13
54.09,11.56,2.23,6.18,2.87,0.048,0.065,0.026,5.73
54.02,11.60,2.00,5.76,2.94,0.072,0.068,0.029,5.93
54.07,11.54,2.03,5.80,2.96,0.098,0.065,0.029,5.60
52.74,12.83,2.38,6.53,2.87,0.914,0.070,0.027,5.80
53.47,12.05,2.00,5.82,2.91,0.129,0.063,0.029,6.07
52.32,13.62,2.71,6.72,2.71,0.526,0.067,0.030,5.67
53.67,11.41,2.82,7.25,2.76,0.135,0.058,0.033,6.00
53.20,12.32,2.47,6.63,2.73,0.315,0.062,0.029,5.40
53.90,11.70,1.93,6.22,2.80,0.112,0.068,0.028,5.73
52.80,12.72,2.61,6.71,2.81,0.573,0.068,0.031,5.80
53.67,12.17,2.11,5.90,2.71,0.095,0.064,0.029,5.80
52.18,13.67,2.92,6.88,2.75,0.508,0.066,0.031,5.40
53.67,12.09,2.24,5.97,2.69,0.110,0.065,0.030,5.87
53.32,12.40,2.37,5.91,2.73,0.557,0.065,0.029,5.47
53.61,12.31,2.44,6.03,2.84,0.098,0.065,0.030,6.00
52.98,12.93,2.72,6.78,2.89,0.345,0.069,0.027,5.93
53.69,11.86,2.37,6.06,2.88,0.209,0.068,0.027,5.60
53.00,12.61,2.53,6.47,2.83,0.767,0.068,0.030,5.87
53.78,12.02,2.26,5.62,2.76,0.150,0.064,0.028,5.73
53.25,12.40,2.60,6.03,2.69,0.526,0.064,0.030,5.60
53.95,11.80,2.29,5.70,2.68,0.175,0.062,0.028,5.73
54.06,11.61,2.10,6.01,2.79,0.300,0.066,0.027,5.87
54.17,11.34,2.08,5.70,2.73,0.294,0.064,0.029,5.47
53.45,12.04,2.49,5.76,2.70,0.695,0.061,0.031,5.67
53.66,12.11,2.32,6.36,2.73,0.065,0.063,0.027,5.40
53.04,12.78,2.65,5.99,2.62,0.514,0.064,0.030,5.73
54.30,11.38,2.16,5.10,2.68,0.109,0.065,0.030,5.87
54.10,11.72,2.24,5.86,2.69,0.209,0.065,0.028,5.40
54.12,11.60,2.32,5.61,2.62,0.223,0.065,0.028,6.07
54.70,10.82,1.96,5.79,2.64,0.081,0.062,0.029,5.73
54.27,11.44,2.21,5.83,2.67,0.107,0.066,0.026,5.67
53.81,12.03,2.33,5.71,2.67,0.062,0.064,0.028,5.60
54.52,11.15,2.37,5.01,2.59,0.192,0.067,0.028,5.93
54.35,11.20,2.14,5.74,2.69,0.077,0.062,0.029,6.00
54.10,11.40,2.47,5.36,2.59,0.347,0.063,0.030,6.20
54.16,11.38,2.14,6.16,2.64,0.062,0.065,0.026,5.67
54.07,11.48,2.40,5.62,2.62,0.306,0.067,0.026,5.67
54.07,11.77,2.24,6.00,2.66,0.067,0.065,0.027,6.53
53.99,11.66,2.43,5.46,2.54,0.334,0.067,0.028,6.00
54.10,11.47,2.21,5.70,2.71,0.088,0.067,0.029,5.93
54.12,11.54,2.52,5.42,2.60,0.331,0.070,0.028,5.40
54.07,11.67,2.33,5.39,2.59,0.093,0.068,0.029,6.07
53.61,12.24,2.46,5.56,2.61,0.225,0.072,0.026,5.33
53.86,11.82,2.28,5.89,2.72,0.076,0.067,0.028,6.67
53.92,11.86,2.51,5.34,2.59,0.248,0.068,0.028,6.00
53.47,12.39,2.40,5.84,2.65,0.069,0.065,0.026,6.60
53.48,12.24,2.53,5.68,2.64,0.199,0.067,0.027,5.73
54.35,11.09,2.37,5.54,2.68,0.244,0.073,0.027,5.93
54.32,11.21,2.26,5.63,2.63,0.073,0.072,0.026,5.80
54.03,11.72,2.18,5.40,2.67,0.061,0.067,0.032,5.53
54.16,11.62,2.17,5.41,2.66,0.045,0.067,0.030,5.73
54.01,11.93,2.24,5.97,2.70,0.045,0.064,0.025,5.93
54.15,11.54,2.15,5.60,2.69,0.055,0.070,0.026,6.53
54.27,11.34,2.16,5.49,2.63,0.043,0.062,0.027,6.00
53.99,11.50,2.47,5.49,2.68,0.143,0.066,0.028,5.80
54.12,11.51,2.35,5.38,2.66,0.073,0.065,0.029,6.33
53.89,11.84,2.41,5.22,2.64,0.261,0.066,0.029,6.20
53.91,11.95,2.24,5.58,2.71,0.136,0.063,0.027,5.80
53.94,11.68,2.49,5.74,2.73,0.285,0.071,0.027,6.13
53.87,11.76,2.39,5.48,2.72,0.301,0.066,0.028,6.00
54.43,11.15,2.34,4.94,2.60,0.220,0.068,0.030,5.93
53.95,12.22,2.35,6.19,2.92,0.081,0.065,0.026,5.47
53.82,12.18,2.43,6.12,2.84,0.177,0.067,0.028,5.67
53.47,12.60,2.57,6.36,2.90,0.160,0.067,0.027,5.67
53.63,12.48,2.45,6.35,2.92,0.113,0.067,0.028,5.80
53.87,12.22,2.35,6.18,2.90,0.060,0.062,0.030,6.27
54.19,11.88,2.64,5.61,2.77,0.223,0.069,0.028,6.00
53.78,12.29,2.34,6.51,2.89,0.073,0.063,0.027,6.00
53.67,12.36,2.86,6.31,2.88,0.339,0.065,0.026,5.73
53.04,13.31,2.79,6.48,2.92,0.075,0.062,0.026,5.80
53.85,12.17,2.60,5.92,2.89,0.269,0.065,0.030,6.00
53.87,12.27,2.47,6.28,2.86,0.069,0.061,0.028,5.53
53.93,12.17,2.64,6.46,2.91,0.210,0.065,0.026,5.60
54.37,11.87,2.33,5.68,2.85,0.085,0.065,0.026,5.53
54.05,12.07,2.54,5.59,2.82,0.131,0.066,0.029,5.73
53.94,12.15,2.57,6.21,2.89,0.159,0.062,0.027,5.87
53.93,12.13,2.54,5.95,2.87,0.309,0.068,0.027,6.13
53.66,12.55,2.41,6.41,2.88,0.071,0.066,0.025,5.80
53.81,12.27,2.52,6.00,2.81,0.258,0.063,0.029,6.07
53.38,12.79,2.62,6.56,2.87,0.053,0.059,0.028,6.00
54.01,11.99,2.71,5.62,2.81,0.213,0.064,0.028,6.00
53.83,12.24,2.36,6.29,2.88,0.059,0.061,0.028,5.80
52.44,12.84,2.61,7.10,2.70,0.238,0.062,0.032,5.93
54.12,11.59,2.87,6.49,2.80,0.091,0.060,0.029,6.33
53.12,13.01,2.74,7.09,2.73,0.311,0.063,0.030,5.80
52.45,12.49,2.61,6.76,2.90,0.097,0.061,0.026,5.87
51.93,12.78,2.81,6.93,2.74,0.342,0.067,0.030,5.93
53.60,12.54,2.41,6.51,2.90,0.084,0.062,0.029,5.47
52.12,12.61,2.64,7.13,2.76,0.278,0.069,0.030,5.73
54.22,11.76,2.17,6.19,2.83,0.095,0.061,0.029,6.00
52.32,12.65,2.62,7.33,2.79,0.333,0.064,0.030,5.80
52.95,12.11,2.40,6.74,2.87,0.111,0.062,0.030,5.80
51.47,13.03,2.99,7.17,2.78,0.340,0.062,0.032,5.73
53.78,11.90,2.30,7.00,3.05,0.067,0.062,0.028,5.80
51.14,13.67,2.94,7.54,2.85,0.382,0.066,0.030,5.33
53.66,12.38,2.32,6.36,2.88,0.097,0.061,0.030,6.47
52.15,13.18,2.72,6.98,2.82,0.339,0.064,0.031,5.40
53.90,12.09,2.31,6.28,3.00,0.066,0.060,0.028,5.80
53.01,12.99,2.77,7.26,2.87,0.319,0.064,0.028,5.67
53.85,12.17,2.37,6.31,2.93,0.107,0.061,0.028,5.60
53.35,12.67,2.58,7.06,2.88,0.258,0.064,0.029,5.67
53.85,12.24,2.40,5.95,2.93,0.090,0.067,0.028,6.47
51.58,13.05,2.74,7.10,2.81,0.340,0.065,0.031,6.13
53.36,12.65,2.19,7.52,2.99,0.092,0.064,0.027,5.53
52.35,12.93,2.67,7.30,2.88,0.210,0.066,0.028,5.67
53.15,12.36,2.44,6.81,2.98,0.105,0.060,0.029,5.60
53.22,12.10,2.42,6.74,2.94,0.198,0.061,0.026,5.53
53.20,12.18,2.33,6.35,2.86,0.104,0.058,0.029,5.80
51.46,13.21,2.75,7.21,2.80,0.360,0.062,0.030,5.87
52.64,12.84,2.39,7.07,2.87,0.071,0.065,0.027,5.73
51.64,13.33,2.77,7.48,2.82,0.271,0.064,0.029,5.47
52.76,12.92,2.55,6.52,2.99,0.095,0.065,0.027,5.73
52.10,13.09,2.90,7.09,2.88,0.276,0.063,0.030,5.40
54.25,11.64,2.64,6.01,2.86,0.066,0.064,0.027,5.87
53.09,12.95,2.95,6.83,2.80,0.291,0.061,0.030,5.67
52.94,12.71,2.71,6.69,2.91,0.118,0.064,0.026,5.80
51.97,13.35,2.86,7.35,2.83,0.221,0.065,0.028,6.13
53.07,12.43,2.45,6.19,2.85,0.119,0.062,0.028,5.80
51.77,12.70,3.47,7.54,2.81,0.295,0.063,0.031,5.73
53.40,12.57,2.63,6.92,2.86,0.078,0.063,0.026,5.87
52.13,12.20,2.94,7.46,2.77,0.223,0.062,0.030,5.80
53.76,12.20,2.63,6.37,2.81,0.080,0.063,0.030,5.47
51.82,13.68,3.19,6.87,2.77,0.213,0.064,0.030,5.40
53.13,12.39,2.57,5.99,2.89,0.060,0.062,0.028,5.93
51.20,13.81,2.94,6.91,2.77,0.217,0.066,0.029,5.73
53.06,13.21,2.94,6.33,2.85,0.216,0.067,0.029,6.00
52.46,13.87,2.76,6.56,2.79,0.629,0.068,0.030,5.60
51.61,13.28,2.97,6.67,2.82,0.270,0.064,0.028,5.47
51.25,13.80,3.13,6.96,2.82,0.347,0.061,0.029,6.40
52.27,12.99,3.19,6.89,2.90,0.137,0.061,0.027,5.67
51.47,13.54,2.64,6.98,2.76,0.451,0.064,0.028,5.80
52.96,12.40,2.71,6.46,2.87,0.086,0.062,0.028,5.60
51.19,13.98,2.81,6.83,2.79,0.348,0.058,0.027,6.00
53.24,12.91,2.66,6.73,2.94,0.066,0.061,0.027,5.87
51.21,13.84,3.07,6.98,2.77,0.664,0.064,0.031,5.60
53.42,12.77,2.61,6.16,2.91,0.095,0.062,0.028,6.40
51.38,13.78,2.84,7.12,2.89,0.652,0.072,0.028,6.00
53.71,12.12,2.42,6.56,2.90,0.107,0.060,0.030,5.87
51.51,13.58,2.85,7.32,2.79,0.685,0.063,0.028,5.93
52.80,12.57,2.86,6.87,2.86,0.164,0.059,0.028,5.67
51.30,13.79,2.99,7.27,2.84,0.625,0.062,0.031,5.60
52.75,12.73,2.68,6.63,2.90,0.118,0.065,0.027,5.87
52.52,12.75,2.62,7.02,2.82,0.290,0.068,0.030,6.00
52.75,12.67,2.48,6.34,2.83,0.130,0.062,0.027,5.67
51.12,13.42,2.83,7.19,2.76,0.530,0.060,0.030,5.80
53.31,12.96,2.60,6.42,2.83,0.104,0.063,0.027,6.20
51.15,13.98,2.94,7.49,2.79,0.525,0.065,0.028,5.47
53.22,12.98,2.59,6.23,2.83,0.113,0.060,0.028,5.73
51.75,13.66,2.86,6.84,2.78,0.246,0.065,0.029,6.00
53.00,12.43,2.43,6.28,2.87,0.080,0.062,0.030,5.87
52.39,12.71,2.52,6.80,3.12,0.047,0.066,0.027,5.80
52.69,12.93,2.55,6.77,3.02,0.050,0.067,0.026,5.53
53.01,12.92,2.56,6.11,3.07,0.062,0.064,0.028,5.33
52.90,13.02,2.54,6.31,3.10,0.051,0.065,0.028,6.00
53.45,12.60,2.59,6.11,3.04,0.041,0.068,0.027,5.93
52.92,13.07,2.44,6.08,3.01,0.064,0.066,0.028,6.33
53.08,12.80,2.43,6.15,3.01,0.053,0.065,0.028,6.00
53.30,12.58,2.57,6.44,2.99,0.066,0.070,0.027,5.67
53.09,12.96,2.60,5.84,2.93,0.076,0.069,0.028,5.67
52.94,12.91,2.61,5.94,2.94,0.086,0.062,0.029,5.80
51.99,14.04,2.98,6.89,2.91,0.255,0.068,0.030,5.67
52.82,13.32,2.63,5.55,2.93,0.078,0.066,0.028,5.80
51.06,13.98,3.00,6.76,2.83,0.264,0.074,0.029,5.67
53.21,12.79,2.54,5.84,2.90,0.069,0.069,0.026,5.40
51.40,13.86,2.86,7.11,2.88,0.273,0.067,0.030,5.93
53.13,12.62,2.52,6.24,2.92,0.060,0.063,0.029,5.93
51.45,13.37,2.76,6.78,2.86,0.440,0.070,0.036,5.53
53.19,12.80,2.37,5.68,2.91,0.100,0.065,0.030,5.80
51.23,13.50,2.69,7.23,2.86,0.382,0.068,0.037,5.53
53.22,12.68,2.41,6.07,2.98,0.111,0.066,0.031,5.93
51.28,14.40,2.78,6.93,2.87,0.569,0.065,0.030,5.60
53.04,12.57,2.60,6.64,3.03,0.165,0.067,0.032,6.33
50.77,13.70,3.02,7.28,2.88,0.452,0.065,0.035,5.73
53.76,11.81,2.69,6.39,2.98,0.071,0.071,0.029,6.07
50.99,13.84,3.03,7.75,2.97,0.453,0.067,0.032,5.40
