T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
52.77,12.34,2.50,5.47,2.52,0.555,0.068,0.032,5.60
52.86,12.35,2.57,5.23,2.54,0.232,0.068,0.031,6.53
53.23,11.74,2.49,5.03,2.45,0.678,0.071,0.032,5.80
53.10,11.88,2.54,5.26,2.56,0.112,0.067,0.033,6.20
52.87,12.05,2.58,5.75,2.56,0.513,0.068,0.032,5.67
53.17,11.82,2.59,5.40,2.55,0.097,0.066,0.031,5.80
52.59,12.44,2.69,6.20,2.51,0.425,0.065,0.031,5.93
52.80,12.26,2.53,5.58,2.48,0.099,0.061,0.031,6.73
53.09,11.73,2.73,5.93,2.50,0.389,0.067,0.033,6.40
52.86,12.01,2.77,5.90,2.49,0.083,0.060,0.032,6.07
53.06,11.96,2.54,5.44,2.48,0.398,0.068,0.032,6.00
53.26,11.74,2.48,4.87,2.51,0.112,0.063,0.032,6.47
52.78,12.16,2.60,5.19,2.47,0.343,0.066,0.032,6.07
53.04,11.92,2.33,5.37,2.59,0.073,0.061,0.032,6.80
52.87,12.17,2.37,5.35,2.51,0.345,0.064,0.030,6.47
53.15,11.67,2.20,5.17,2.53,0.085,0.060,0.031,6.20
52.91,12.21,2.48,5.90,2.54,0.600,0.071,0.030,6.27
52.91,12.02,2.51,5.41,2.54,0.214,0.063,0.032,6.93
52.74,12.04,2.50,5.60,2.51,0.869,0.063,0.032,6.07
52.45,12.58,2.33,6.33,2.71,0.115,0.057,0.029,6.60
52.77,11.84,2.33,6.33,2.65,0.541,0.062,0.032,5.93
52.91,12.00,2.83,5.65,2.54,0.143,0.061,0.032,6.13
52.49,12.74,2.48,5.63,2.68,0.477,0.065,0.030,5.93
52.60,12.24,2.72,5.79,2.66,0.107,0.060,0.034,6.53
52.43,12.71,2.51,5.40,2.52,0.527,0.066,0.033,6.20
52.56,12.64,2.63,5.94,2.62,0.101,0.061,0.031,6.47
52.22,13.07,2.66,6.40,2.60,0.590,0.065,0.029,6.53
52.74,12.46,2.58,5.60,2.61,0.158,0.065,0.031,6.33
52.59,12.43,2.45,5.95,2.59,0.579,0.067,0.030,6.67
52.54,12.62,2.53,5.32,2.60,0.126,0.064,0.033,6.73
52.27,12.62,2.69,5.77,2.73,0.518,0.061,0.033,6.00
52.47,12.52,2.70,5.87,2.77,0.146,0.067,0.031,6.40
52.41,12.58,2.51,5.94,2.70,0.712,0.066,0.029,6.20
52.60,12.62,2.33,5.30,2.63,0.245,0.060,0.031,6.47
52.52,12.42,2.52,6.16,2.54,0.888,0.062,0.031,6.00
52.29,13.00,2.88,6.07,2.60,0.173,0.062,0.029,6.27
52.28,13.23,2.60,5.89,2.56,0.504,0.066,0.029,5.80
52.26,13.15,2.67,5.95,2.64,0.126,0.061,0.030,6.20
52.32,13.03,2.54,5.78,2.51,0.551,0.061,0.030,6.13
52.88,12.27,2.47,5.45,2.43,0.149,0.059,0.033,6.20
52.20,13.26,2.67,5.86,2.48,0.568,0.061,0.031,6.07
52.60,12.87,2.68,5.51,2.55,0.106,0.066,0.030,6.33
52.14,13.18,3.06,6.40,2.55,0.578,0.066,0.030,5.93
52.54,12.79,2.83,6.04,2.54,0.168,0.063,0.030,6.60
52.36,12.99,2.59,5.77,2.60,0.565,0.071,0.030,5.93
52.56,12.80,2.62,5.25,2.56,0.155,0.062,0.032,6.20
52.29,13.07,2.66,5.65,2.51,0.751,0.065,0.031,5.87
52.56,12.89,2.72,5.48,2.55,0.130,0.067,0.030,6.00
52.47,13.02,2.78,5.66,2.42,0.615,0.068,0.029,5.73
52.62,12.66,2.62,5.14,2.52,0.168,0.067,0.032,6.80
52.68,12.61,2.87,5.56,2.52,0.136,0.069,0.031,5.67
52.79,12.39,2.86,5.62,2.52,0.130,0.068,0.031,5.73
52.68,12.44,2.46,5.14,2.58,0.097,0.065,0.034,6.67
52.71,12.37,2.74,5.42,2.55,0.061,0.065,0.036,6.00
52.57,12.67,2.40,5.52,2.44,0.060,0.070,0.031,6.40
52.69,12.58,2.36,5.24,2.54,0.114,0.066,0.031,6.13
52.37,12.95,2.62,5.51,2.42,0.476,0.069,0.032,6.53
52.80,12.60,2.52,5.40,2.44,0.202,0.064,0.030,6.07
52.67,12.76,2.30,5.46,2.56,0.672,0.069,0.029,6.33
52.82,12.57,2.25,5.34,2.45,0.143,0.065,0.031,6.53
52.24,13.03,2.81,6.34,2.60,0.065,0.068,0.030,5.93
52.57,12.71,2.46,5.93,2.55,0.065,0.072,0.029,6.33
52.72,12.67,2.58,5.68,2.51,0.061,0.069,0.030,6.53
52.62,12.70,2.40,5.44,2.50,0.424,0.071,0.030,6.00
52.42,12.79,2.48,5.71,2.59,0.115,0.066,0.032,6.27
52.33,12.87,2.52,5.65,2.59,0.569,0.073,0.032,6.60
52.46,12.45,2.67,5.78,2.59,0.266,0.069,0.033,6.00
